120.00	5124.00
119.90	5150.00
119.80	5200.00
119.70	5349.00
119.60	5309.00
119.50	5298.00
119.40	5378.00
119.30	5262.00
119.20	5306.00
119.10	5170.00
119.00	5167.00
118.90	5229.00
118.80	5299.00
118.70	5308.00
118.60	5136.00
118.50	5226.00
118.40	5129.00
118.30	5234.00
118.20	5344.00
118.10	5248.00
118.00	5281.00
117.90	5314.00
117.80	5086.00
117.70	5176.00
117.60	5241.00
117.50	5266.00
117.40	5164.00
117.30	5233.00
117.20	5293.00
117.10	5089.00
117.00	5135.00
116.90	5287.00
116.80	5229.00
116.70	5271.00
116.60	5221.00
116.50	5326.00
116.40	5358.00
116.30	5353.00
116.20	5159.00
116.10	5347.00
116.00	5282.00
115.90	5381.00
115.80	5303.00
115.70	5352.00
115.60	5623.00
115.50	5639.00
115.40	5446.00
115.30	5939.00
115.20	5782.00
115.10	5904.00
115.00	6050.00
114.90	6521.00
114.80	6684.00
114.70	6960.00
114.60	7213.00
114.50	7753.00
114.40	8171.00
114.30	9044.00
114.20	9265.00
114.10	10154.00
114.00	10777.00
113.90	11268.00
113.80	11994.00
113.70	12445.00
113.60	12923.00
113.50	13628.00
113.40	13931.00
113.30	14269.00
113.20	14374.00
113.10	14541.00
113.00	14683.00
112.90	15104.00
112.80	14829.00
112.70	15091.00
112.60	15297.00
112.50	15594.00
112.40	15700.00
112.30	15806.00
112.20	16058.00
112.10	16135.00
112.00	16035.00
111.90	15843.00
111.80	15528.00
111.70	15159.00
111.60	14473.00
111.50	13389.00
111.40	12579.00
111.30	11696.00
111.20	10424.00
111.10	9486.00
111.00	8650.00
110.90	7942.00
110.80	7183.00
110.70	6754.00
110.60	6271.00
110.50	5782.00
110.40	5616.00
110.30	5334.00
110.20	5161.00
110.10	4972.00
110.00	4833.00
109.90	4812.00
109.80	4785.00
109.70	4697.00
109.60	4825.00
109.50	4656.00
109.40	4742.00
109.30	4604.00
109.20	4770.00
109.10	4588.00
109.00	4572.00
108.90	4552.00
108.80	4546.00
108.70	4637.00
108.60	4570.00
108.50	4502.00
108.40	4615.00
108.30	4425.00
108.20	4599.00
108.10	4559.00
108.00	4604.00
107.90	4499.00
107.80	4565.00
107.70	4548.00
107.60	4501.00
107.50	4509.00
107.40	4572.00
107.30	4622.00
107.20	4668.00
107.10	4409.00
107.00	4497.00
